nama_premis,alamat,nama_jalan,bandar,daerah,negeri,poskod,jenis_urus_niaga,pdl_pp_tkh_kuatkuasa_hingga
GJH MAKMUR SDN BHD [FARMASI MERCURY],"No 87, Lorong Intan 2","Nadi Kota, Bandar Tun Abdul Razak",Jengka,Maran,Pahang,26400,Runcit,2020/12/31 00:00:00.000
GJH MAKMUR SDN BHD [FARMASI MERCURY],No S-16,"Jalan Tahan, Bandar Baru Jerantut",Jerantut,Jerantut,Pahang,27000,Runcit,2020/12/31 00:00:00.000
GLOBAL INTEGRATED TRAINING ASSOCIATES SDN BHD [QUEST PHARMACY],"227, Plaza Teh Teng Seng (Level 4)",Jalan Raja Permaisuri Bainun,Ipoh,Kinta,Perak,30250,Runcit,2020/12/31 00:00:00.000
GLOBAL PHARMA SDN BHD,"Ground Floor of Sublot 2, Lot 9683, Block 11, MTLD, Tabuan Stutong Commercial Centre Phase II",Jalan Setia Raja,Kuching,Kuching,Sarawak,93350,Borong & Runcit,2020/12/31 00:00:00.000
GLOBAL PHARMACY SDN. BHD. [GLOBAL PHARMACY],6058,"Jalan Sj 5/1, Taman Seremban Jaya",Seremban,Seremban,Negeri Sembilan,70450,Runcit,2020/12/31 00:00:00.000
Gold Coast Pharmacy Sdn Bhd,No 200-D,Jalan Pasar,Tanjung Sepat,Kuala Langat,Selangor,42800,Runcit,2020/12/31 00:00:00.000
Golden Dedication Sdn Bhd [Farmasi Bangi],G-06 Plaza Bangi Perdana,Jalan Gerbang Wawasan 1 Bangi Gateway,Bandar Baru Bangi,Hulu Langat,Selangor,43650,Borong & Runcit,2020/12/31 00:00:00.000
GOLDEN WELLNESS PHARMA SDN BHD [GOLDEN WELLNESS PHARMACY],"Ground Floor, Lot 731",Bau Town District,Bau,Kuching,Sarawak,94000,Runcit,2020/12/31 00:00:00.000
Golver Health Enterprise [U.n.i Farmasi],LOT 3-8,"Rumah Kedai Jalan Desa Kuala Muda, Taman Desa Kuala Muda",Penaga,Seberang Perai Utara,Pulau Pinang,13100,Runcit,2020/12/31 00:00:00.000
Good Care Medic Shop [Good Care Pharmacy],5,"Lorong 1, Taman Kayangan,",Hutan Melintang,Hilir Perak,Perak,36400,Runcit,2020/12/31 00:00:00.000
Good Day Pharmacy [Farmasi Good Day],"Lot 24, Blok B, Plaza CKS, Kg Tutoh",Jalan Tuaran,Tuaran,Tuaran,Sabah,89200,Runcit,2020/12/31 00:00:00.000
Good Life Pharmacy,103,Jalan Besar,Sungai Siput,Kuala Kangsar,Perak,31100,Runcit,2020/12/31 00:00:00.000
Good Neighbour Pharmacy [Farmasi Good Neighbour],5006,Jalan New Ferry,Butterworth,Seberang Perai Utara,Pulau Pinang,12100,Runcit,2020/12/31 00:00:00.000
GOODCARE PHARMACY,"LOT 3, BLOCK B, GROUND FLOOR, DONGGONGON NEW TOWNSHIP",Jalan  Tapikong,Penampang,Penampang,Sabah,89500,Runcit,2020/12/31 00:00:00.000
Goodcare Pharmacy Sdn Bhd [Goodcare Pharmacy],17,Jalan Equine 9C Taman Equine Bandar Putra Permai,Seri Kembangan,Hulu Langat,Selangor,43300,Runcit,2020/12/31 00:00:00.000
Goodhealth Pharmacy,8,Laluan Klebang Restu 2 Medan Klebang Restu,Chemor,Kinta,Perak,31200,Runcit,2020/12/31 00:00:00.000
Goodlife Health Services Sdn Bhd [Goodlife Pharmacy],14,Jalan SS 5B/2 Kelana Jaya,Petaling Jaya,Petaling,Selangor,47301,Runcit,2020/12/31 00:00:00.000
Goodlife Health Services Sdn Bhd [Goodlife Pharmacy],1073-G,Jalan 17/27 Seksyen 17,Petaling Jaya,Petaling,Selangor,46400,Runcit,2020/12/31 00:00:00.000
Goodwill Pharmacy,"U0411, Jalan Bunga Dahlia",Jalan Bunga Dahlia,Labuan,Labuan,Wilayah Persekutuan Labuan,87023,Borong & Runcit,2020/12/31 00:00:00.000
GR2 Farmasi Sdn Bhd [Green River Farmasi],77,Jalan Terengganu,Georgetown,Timur Laut,Pulau Pinang,10460,Runcit,2020/12/31 00:00:00.000
GR2 Pharmacy Sdn Bhd,"4 G/F, Desa University Complex",Jalan Sungai DUa,Sungai Dua,Timur Laut,Pulau Pinang,11700,Runcit,2020/12/31 00:00:00.000
GR2 Pharmacy Sdn Bhd [Gold River Pharmacy],9,Lorong Sungai Emas,Batu Ferringhi,Timur Laut,Pulau Pinang,11100,Runcit,2020/12/31 00:00:00.000
GR2 PHARMACY SDN BHD [GREEN RIVER PHARMACY],43-1,Lintang Batu Maung,Batu Maung,Barat Daya,Pulau Pinang,11960,Runcit,2020/12/31 00:00:00.000
GR2 Pharmacy Sdn Bhd [Green River Pharmacy],9,Lorong Sungai Emas,Batu Ferringhi,Timur Laut,Pulau Pinang,11100,Runcit,2020/12/31 00:00:00.000
GR2 Pharmacy Sdn. Bhd. [Green River Pharmacy],4 (Ground Floor),China Street,Georgetown,Timur Laut,Pulau Pinang,10200,Borong & Runcit,2020/12/31 00:00:00.000
GRACE PHARMACY,"Lot 595, Block 15",Gigis Land District,Selangau,Sibu,Sarawak,96000,Runcit,2020/12/31 00:00:00.000
GRACE PHARMACY,"Lot 2268, Block 233, Kuching North, 7th Mile",Kota Sentosa,Kuching,Kuching,Sarawak,93250,Runcit,2020/12/31 00:00:00.000
Gracious Pharmacy Sdn Bhd [Slim Pharmacy],No. 5,"Jalan Intan Setia 1, Taman Intan Setia",Tanjung Malim,Muallim,Perak,35900,Runcit,2020/12/31 00:00:00.000
Grandeur Healthcare Sdn Bhd [Grandeur Pharmacy],315,"Jalan Bercham, Taman Desa Kencana",Ipoh,Kinta,Perak,31400,Runcit,2020/12/31 00:00:00.000
GRATEFUL PHARMACY,"Lot 780 of Parent Lot 120, Block 13, Bukit Kisi Land District",Jalan Miri-Bintulu,Bekenu,Miri,Sarawak,98150,Runcit,2020/12/31 00:00:00.000
Great Health Medical Supplies Sdn Bhd,103,"Jalan Baldwin 3, Pusat Perniagaan Baldwin,",Tapah,Batang Padang,Perak,35000,Runcit,2020/12/31 00:00:00.000
Great Leo Medic Sdn Bhd [Leo Farmasi],34G,Jalan Dato Yusof Shahbudin 29 Taman Sentosa,Klang,Klang,Selangor,41200,Runcit,2020/12/31 00:00:00.000
Great Pharmacy Sdn Bhd [Farmasi OK],86G,Jalan BPU 1 Bandar Puchong Utama,Puchong,Petaling,Selangor,47100,Runcit,2020/12/31 00:00:00.000
Greatcare Pharmacy Sdn Bhd [Carewell Pharmacy],"24, Ground Floor",Jalan Rantau Panjang 2/KU4 BT3 3/4 Off Jalan Kapar,Kapar,Klang,Selangor,41400,Runcit,2020/12/31 00:00:00.000
GREATHEALTH PHARMACY SDN BHD,"Ground Floor, Lot 7491, Block 16, Kuching Central Land District, 3rd Mile",Rock Road,Kuching,Kuching,Sarawak,93250,Runcit,2020/12/31 00:00:00.000
Green Care Health Management Sdn Bhd [Farmasi Medigreen],"No 6, Ground Floor & Basement Floor",Jalan 21/12 Sea Park,Petaling Jaya,Petaling,Selangor,46300,Borong & Runcit,2020/12/31 00:00:00.000
Green Care Pharmacy Sdn Bhd,G-06 Amcorp Mall,Jalan Persiaran Barat,Petaling Jaya,Petaling,Selangor,46050,Runcit,2020/12/31 00:00:00.000
Green Lane Pharmacy Sdn Bhd," No. 33, ","Jalan Bangau 1, Kepong Baru",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,52100,Runcit,2020/12/31 00:00:00.000
Green Lane Pharmacy Sdn Bhd," No. 33, ","Jalan Bangau 1, Kepong Baru, Kepong",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,52100,Runcit,2020/12/31 00:00:00.000
GREEN MED PHARMACY SDN BHD [FARMASI EARTH GREEN],A1130,Jalan Teluk Sisek,Kuantan,Kuantan,Pahang,25000,Runcit,2020/12/31 00:00:00.000
Green Pharma Health Food & Medical Supplies,"No 15, Tingkat Bawah","Jalan Susur Utama 2/1, Taman Utama",Segamat,Segamat,Johor,85000,Runcit,2020/12/31 00:00:00.000
GREEN SURGE SDN BHD (CARING PHARMACY),"LOT B-06,06A & 07","Sunway Velocity Mall, Lingkaran SV, Sunway Velocity",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,55100,Runcit,2020/12/31 00:00:00.000
Green Tree Pharmacy,No. 7,"Jalan Pesta 1/1, Taman Tun Dr. Ismail",Muar,Muar,Johor,84000,Runcit,2020/12/31 00:00:00.000
GREEN TREES PHARMACY SDN BHD [GEORGETOWN PHARMACY],104,Jalan Besar,Balik Pulau,Barat Daya,Pulau Pinang,11000,Runcit,2020/12/31 00:00:00.000
Greenery Partners & Networks Sdn Bhd [Farmasi Green Life],No.21G,Jalan Ppaj 3/1 Pusat Perdagangan Alam Jaya,Puncak Alam,Kuala Selangor,Selangor,42300,Runcit,2020/12/31 00:00:00.000
GREENLEAF PHARMACY,No. 37 Jalan 1,Taman Sri Kluang,Kluang,Kluang,Johor,86000,Runcit,2020/12/31 00:00:00.000
GREENLIFE PHARMACY,107B,SeberangJalan Putra,Alor Setar,Kota Setar,Kedah,05150,Runcit,2020/12/31 00:00:00.000
Greenpharm Pharmacy Sdn Bhd,No.262,"Jalan Raja Dr. Nazrin Shah, Gunung Rapat",Ipoh,Kinta,Perak,31350,Runcit,2020/12/31 00:00:00.000
GUAN PHARMACY [GUAN PHARMACY],2663,"Jln Padang Serai, Taman Bunga Kemaju",Tasek Gelugor,Seberang Perai Utara,Pulau Pinang,13300,Runcit,2020/12/31 00:00:00.000
GUARDIAN,"LOT B-58, B-59, B-60 & PART OF B-61, LOWER GROUND FLOOR, SURIA SABAH SHOPPING MALL",Jalan Tun Fuad Stephens,Kota Kinabalu,Kota Kinabalu,Sabah,88000,Runcit,2020/12/31 00:00:00.000
Guardian,"Lot G-349, Ground Floor, 1Borneo Hypermall",Jalan Sulaman,Kota Kinabalu,Kota Kinabalu,Sabah,88400,Runcit,2020/12/31 00:00:00.000
Guardian Health & Beauty Sdn Bhd,"LG 22, 23 & LG 24, Lower Ground","Nu Sentral, Jalan Tun Sambanthan, Brickfields",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50470,Runcit,2020/12/31 00:00:00.000
Guardian Health & Beauty Sdn Bhd [Guardian Pharmacy],"F 28 & F29, Giant Hypermarket, No 33",Jalan SS 6/12 Kelana Jaya,Petaling Jaya,Petaling,Selangor,47301,Runcit,2020/12/31 00:00:00.000
Guardian Health & Beauty Sdn Bhd [GUARDIAN],170-B1-39,"Gurney Plaza, Persiaran Gurney",Georgetown,Timur Laut,Pulau Pinang,10250,Runcit,2020/12/31 00:00:00.000
Guardian Health & Beauty Sdn. Bhd. [GUARDIAN PHARMACY],"126, GROUND FLOOR PENANG PLAZA",Jalan Burma,Georgetown,Timur Laut,Pulau Pinang,10050,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY [GUARDIAN PHARMACY],78-G-10 & 78-G-11,"Jalan Tengah, Giant Hypermarket Bayan Baru",Bayan Lepas,Barat Daya,Pulau Pinang,11900,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd,"Lot G09, AEON Co. (M) Berhad","Susuran Stesen 18, Station 18",Ipoh,Kinta,Perak,31650,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd,No.4 & 6,Jalan Kangsar,Kuala Kangsar,Kuala Kangsar,Perak,33000,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd,"G10B, Ground Floor","OUG Plaza, Jalan Mega, Off Jalan Klang Lama",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,58200,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN BHD,"LG-10, LG Floor Holiday Plaza","Jalan Dato Sulaiman, Taman Abad",Johor Bahru,Johor Bahru,Johor,80250,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn Bhd,"LOT C-21B, CONCOURSE AREA,","Suria KLCC, Kuala Lumpur City Centre",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50088,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd,"Unit LG 047, Tingkat Terbawah,","Mid Valley Megamall, Mid Valley City",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,58000,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn Bhd,"No LG-06 & LG-07, Lower Ground Floor","Berjaya Times Square, No. 1, Jalan Imbi",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,55100,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn Bhd,"8 & 10, GROUND FLOOR","Jalan 24/70A, Desa Sri Hartamas",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50480,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn Bhd,"LOT 3B, TKT TERBWH","Great Eastern Mall, No. 303, Jalan Ampang",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50450,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN BHD,"Lot G-08, Mahkota Parade",Jalan Taman,Melaka,Melaka Tengah,Melaka,75000,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN BHD,"F19, Jusco Melaka Shopping Centre",Lebuh Ayer Keroh,Melaka,Melaka Tengah,Melaka,75450,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN BHD,"LOT. NO. 1.26.00, LEVEL 1,","Pavilion Kl Shopping Mall, 168, Jalan Bukit Bintang",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,55100,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn Bhd,"Lot B-12, Tingkat Basement","Sunway Velocity Mall, 80, Jalan Cheras, Maluri",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,55100,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd,89&91 Ground Floor,Jalan Bukit Bintang,Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,55100,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn Bhd,"UNIT 1&2, TINGKAT 1","Stesen Sentral Kuala Lumpur, Jalan Stesen Sentral",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50470,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn Bhd,"Lot G25, Tingkat Bawah, ","Jusco Metro Prima, Jalan Kepong, Kepong",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,52100,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn Bhd,"No. 8 & 10, Ground Floor,","Solaris Mont Kiara, Jalan Solaris 5, Off Jalan Duta Kiara,",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50480,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn Bhd,"Lot No. 1F-1A, Tingkat 1","Bangsar Village II, No. 2, Jalan Telawi 1, Bangsar Baru",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,59100,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn Bhd,Lot F1,"Bangsar Shopping Centre, 285 Jalan Maarof, Bukit Bandaraya",Kuala Lumpur,Bukit Bandaraya,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,59000,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN BHD,"Lot G-B-2 & G-B-3A, Ground Floor",Boulevard Shopping Mall,Kuching,Kuching,Sarawak,93250,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN BHD,"Lot G17, Giant Hypermarket Tabuan Jaya, No. 1, Tabuan Tranquility Commercial Centre",Jalan Canna,Kuching,Kuching,Sarawak,93350,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN BHD,"G21-G24, Ground Floor, Bintang Plaza Shopping Complex",Jalan Miri-Pujut,Miri,Miri,Sarawak,98000,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN BHD,"UGF 1.3, 1.4 & 1.5",Upper Ground Floor Boulevard Shopping Mall,Miri,Miri,Sarawak,98000,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN BHD,"No. 40,  Ground Floor, Wisma See Hua",Jalan Tuanku Osman,Sibu,Sibu,Sarawak,96000,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN BHD,"LG 001, 002 & 004, Lower Ground, Vivacity Megamall",Jalan Wan Alwi,Kuching,Kuching,Sarawak,93350,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN BHD,"B4, Tingkat Bawah, Giant Kuantan, Lot 5197",Jalan Tanah Putih,"Seksyen 124, Kuantan",Kuantan,Pahang,25100,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN BHD,"No. 194K, 194L & 194M, Ground Floor, Al-Idrus Commercial Centre",Jalan Satok,Kuching,Kuching,Sarawak,93400,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn Bhd,"Unit LG 047, Tingkat Terbawah,","Mid Valley Megamall, Mid Valley City, Lingkaran Syed Putra",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,58000,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn Bhd,"Unit LG 047, Tingkat Terbawah,","Mid Valley Megamall, Mid Valley City",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,58000,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd,"Lot G39A, Ground Floor, Ipoh Parade",Jalan Sultan Abdul Jalil,Ipoh,Kinta,Perak,30450,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn Bhd,100-LG-72,"Queensbay Mall, Persiaran Bayan Indah",Bayan Lepas,Barat Daya,Pulau Pinang,11900,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn Bhd,"Lot No L4, Tesco Melaka,No 1,","Jalan Tun Abdul Razak, Peringgit",Melaka,Melaka Tengah,Melaka,75400,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn Bhd,"Lot C18 & C19, Concourse Level","The Intermark, 348, Jalan Tun Razak",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50400,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN BHD,"Lot F20 & F21, First Floor, AEON Mall Kuching Central",Jalan Tun Ahmad Zaidi Adruce,Kuching,Kuching,Sarawak,93200,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd,LG-31A & LG-32 Sunway Carnival Mall,"Jalan Todak 2, Pusat Bandar Seberang Jaya",Perai,Seberang Perai Tengah,Pulau Pinang,13700,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd,"Lot G21, Ground Floor, IOI City Mall",IOI Resort,Putrajaya,Putrajaya,Selangor,62502,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd,"Lot LG-022&023,Lower GF,The Mall,Mid Valley South Key,","Persiaran Southkey 1, Kota Southkey",Johor Bahru,Johor Bahru,Johor,80150,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd,No 65,Jalan Bidara 8 Saujana Utama 3,Sungai Buloh,Petaling,Selangor,47000,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd,LoT F15-F18 Giant Hypermarket Putra Heights Lot PT 21523,Persiaran Putra Perdana,Subang Jaya,Petaling,Selangor,47650,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd,Lot No MTB-5-L13 Level 5 Main Terminal Building,KLIA,Sepang Klia,Sepang,Selangor,64000,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd,"LG-4B & 5, LOWER GROUND FLOOR","Sunway Putra Mall, No. 100, Jalan Putra",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50350,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd,"LOT C18 & C19 Aras Concourse, The Intermark, No.348",Jalan Tun Razak,Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50400,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd,"LOT G-03, Ground Floor Toppen Shopping Centre","Jalan Harmonium, Taman Desa Tebrau",Tebrau,Johor Bahru,Johor,81100,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd,"Lot No. 100-P2.019,P2.021 & P2.023, Jaya One 72A",Jalan Universiti,Petaling Jaya,Petaling,Selangor,46200,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd,"Lot CC-78, 79, 80, 81 & 82A, Concourse Floor, Tropicana Gardens Mall",Persiaran Surian Tropicana Indah,Petaling Jaya,Petaling,Selangor,47810,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd,"LOT A19 & A20 TF VALUE MART, BANDAR SUNWAY IPOH","Jalan SCI 2/2, Sunway City Ipoh",Ipoh,Kinta,Perak,31150,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Pharmacy],Lot G143A GF 1 Utama Shopping Centre No 1,"Lebuh Bandar Utama, Bandar Utama",Petaling Jaya,Petaling,Selangor,47800,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn Bhd [Guardian Pharmacy],"B5, Tingkat Bawah Giant Hypermarket Klang",Persiaran Batu Nilam Bandar Bukit Tinggi,Klang,Klang,Selangor,41200,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Pharmacy],Lot G05 Ground Floor Aeon Rawang Shopping Centre No 1,Persiaran Anggun,Rawang,Gombak,Selangor,48000,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Pharmacy],"Block C-T00-U01, No 1","Jalan P8D, Presint 8",Putrajaya,Putrajaya,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,62250,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Pharmacy],"Lot F7, F8 & F9 Giant Hypermarket Bandar Kinrara Lot 449",Jalan BK 5A/1 Bandar Kinrara,Puchong,Petaling,Selangor,47100,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Pharmacy],Unit P1-29 Shaftsbury Square,Persiaran Multimedia Cyber 6,Cyberjaya,Sepang,Selangor,63000,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Pharmacy],14 Ground Floor,Jalan USJ 10/1,Subang Jaya,Petaling,Selangor,47600,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Pharmacy],Lot G31 & G32 Ground Floor IOI Mall,Bandar Puchong Jaya,Puchong,Petaling,Selangor,47100,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Pharmacy],SATP C03 Passenger Level,Satelite Building,Sepang Klia,Sepang,Selangor,64000,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN BHD [GUARDIAN PHARMACY],1820-G1,"Jalan Perusahaan, Auto City, North-south Highway, Juru Interchange",Perai,Seberang Perai Tengah,Pulau Pinang,13600,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Pharmacy],"Lot No S17, S18, S29 & S30 Tingkat 2 Klang Parade",No 2112 KM 2 Jalan Meru,Klang,Klang,Selangor,41050,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Rx],Lot No B15 (Lot 10243),Giant Hypermarket Batu Caves,Batu Caves,Gombak,Selangor,68100,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Rx],"Lot No B10, B11, B12 & B13, Pasaraya Giant Shah Alam, Lot 2",Persiaran Sukan Seksyen 13,Shah Alam,Petaling,Selangor,40100,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Rx],Lot L2-143 Level 2 Gateway @ KLIA 2 Terminal KLIA 2 KL International Airport,Jalan KLIA 2/1,Sepang,Sepang,Selangor,64000,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Rx],No G102B & G103 Ground Floor Centrepoint Bandar Utama,"Lebuh Bandar Utama, Bandar Utama",Petaling Jaya,Petaling,Selangor,47800,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Rx],Lot No G-20 Tingkat Bawah Bangi Utama Shopping Complex No 1,Jalan Medan Bangi Off Jalan Persiaran Kemajuan Seksyen 6,Bangi,Hulu Langat,Selangor,43650,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Rx],Lot F.01 First Floor Aeon Mall Shah Alam,"Jalan Akuatik 13/64, Seksyen 13",Shah Alam,Petaling,Selangor,40100,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Rx],"LG-03A, 05 & 06 Jaya Shopping Centre 26A",Jalan 14/14,Petaling Jaya,Petaling,Selangor,46100,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Rx],Lot B-005-006 Basement Level 1 The Starling Mall,Jalan SS21/60,Petaling Jaya,Petaling,Selangor,47400,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Rx],Lot G07 Ground Floor Ampang Point Shopping Centre,Jalan Memanda 3,Ampang,Hulu Langat,Selangor,68000,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn Bhd [Guardian Rx],Jaya Supermarket Tingkat Bawah,Kompleks PKNS,Shah Alam,Petaling,Selangor,40000,Runcit,2020/12/31 00:00:00.000
Guardian Health And Beauty Sdn Bhd [Guardian Rx],LG 2.06 Lower Ground Sunway Pyramid No 3,Jalan PJS 11/15 Bandar Sunway,Subang Jaya,Petaling,Selangor,47500,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Rx],"Lot 147E & 162 First Floor The Curve, No 6","Jalan PJU 7/3, Mutiara Damansara",Petaling Jaya,Petaling,Selangor,47810,Runcit,2020/12/31 00:00:00.000
Guardian Health and Beauty Sdn Bhd [Guardian Rx],"Lot LG-48, LG-49 and LG-52, Tingkat LG, Pusat Membeli Belah Sentral I-City, No. 1,",Persiaran Multimedia Seksyen 7,Shah Alam,Petaling,Selangor,40000,Runcit,2020/12/31 00:00:00.000
GUARDIAN HEALTH AND BEAUTY SDN BHD [GUARDIAN],"No. Lot G09-G16,Giant Hypermarket",Jalan Sultan Mohamad,.,Kuala Terengganu,Terengganu,21100,Runcit,2020/12/31 00:00:00.000
